Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Result
216,1,88,52,41,Fail
217,8,58,36,49,Pass
218,7,71,83,73,Pass
219,2,92,47,55,Fail
220,8,95,38,87,Pass
221,1,53,60,90,Fail
222,9,75,59,100,Pass
223,9,78,64,78,Pass
224,2,94,45,61,Fail
225,7,83,41,51,Pass
226,10,72,65,63,Pass
227,3,86,78,86,Pass
228,7,60,44,79,Pass
229,10,55,73,77,Pass
230,9,67,47,99,Pass
231,4,70,65,98,Pass
232,1,91,41,49,Fail
233,2,85,90,74,Pass
234,1,90,83,90,Pass
235,5,87,76,88,Pass
236,5,83,95,71,Pass
237,7,66,76,46,Pass
238,9,86,90,60,Pass
239,9,74,70,59,Pass
240,3,87,54,65,Fail
241,3,61,38,43,Fail
242,3,72,88,85,Pass
243,4,91,41,91,Pass
244,8,71,88,61,Pass
245,6,70,35,54,Fail
246,8,76,78,95,Pass
247,1,80,90,79,Pass
248,8,55,79,60,Pass
249,4,76,76,54,Pass
250,1,89,81,61,Fail
251,8,83,93,91,Pass
252,4,61,47,67,Fail
253,6,94,89,53,Pass
254,8,56,56,66,Pass
255,4,59,88,100,Pass
256,3,94,55,80,Pass
257,9,66,56,79,Pass
258,3,75,62,97,Pass
259,9,70,43,67,Pass
260,2,77,60,65,Fail
261,2,95,43,88,Fail
262,2,51,49,41,Fail
263,6,92,44,64,Pass
264,3,50,58,95,Fail
265,9,100,92,42,Pass
266,4,85,91,47,Pass
267,1,100,95,83,Pass
268,4,75,76,72,Pass
269,1,78,42,81,Fail
270,5,70,58,91,Pass
271,4,60,50,74,Fail
272,8,89,83,45,Pass
273,8,60,60,78,Pass
274,7,85,61,91,Pass
275,3,98,71,62,Pass
276,1,88,38,64,Fail
277,1,89,84,98,Pass
278,3,84,58,89,Pass
279,6,83,53,82,Pass
280,7,96,70,58,Pass
281,6,73,94,44,Pass
282,6,71,73,90,Pass
283,6,54,44,50,Fail
284,3,82,59,95,Pass
285,6,85,52,51,Pass
286,8,96,53,49,Pass
287,2,69,70,47,Fail
288,5,68,44,63,Fail
289,1,84,67,99,Fail
290,1,92,89,67,Pass
291,5,66,84,80,Pass
292,3,94,39,75,Fail
293,4,92,81,76,Pass
294,3,83,83,60,Pass
295,1,58,69,47,Fail
296,1,75,78,94,Fail
297,5,51,68,48,Fail
298,6,58,67,86,Pass
299,3,58,89,54,Fail
300,9,89,55,87,Pass
301,5,66,51,85,Pass
302,8,50,56,79,Pass
303,1,74,82,57,Fail
304,5,92,71,81,Pass
305,3,89,49,99,Pass
306,1,91,69,59,Fail
307,4,74,62,45,Fail
308,5,88,41,51,Pass
309,7,84,66,41,Pass
310,1,52,45,46,Fail
311,3,99,44,55,Fail
312,2,86,43,42,Fail
313,9,93,48,84,Pass
314,10,93,47,42,Pass
315,6,100,95,66,Pass
316,10,79,91,89,Pass
317,3,87,59,82,Pass
318,8,83,36,79,Pass
319,8,61,69,77,Pass
320,2,68,41,72,Fail
321,6,86,55,67,Pass
322,7,93,52,40,Pass
323,2,98,37,94,Fail
324,10,66,76,47,Pass
325,2,59,88,76,Fail
326,10,98,95,71,Pass
327,1,96,73,99,Pass
328,8,61,75,87,Pass
329,1,65,83,82,Fail
330,9,73,45,76,Pass
331,6,68,73,43,Pass
332,7,57,58,69,Pass
333,10,80,94,45,Pass
334,7,70,80,85,Pass
335,10,66,53,93,Pass
336,3,72,38,58,Fail
337,2,86,60,71,Fail
338,9,65,72,48,Pass
339,8,55,76,51,Pass
340,10,57,66,50,Pass
341,7,74,73,85,Pass
342,9,67,79,94,Pass
343,4,74,80,55,Pass
344,4,61,70,40,Fail
345,1,64,74,84,Fail
346,8,75,71,94,Pass
347,3,90,67,92,Pass
348,7,94,70,60,Pass
349,2,75,37,69,Fail
350,2,96,43,52,Fail
351,7,81,42,73,Pass
352,6,59,67,43,Pass
353,3,65,93,67,Pass
354,9,56,40,77,Pass
355,10,66,75,97,Pass
356,6,72,73,70,Pass
357,10,75,38,98,Pass
358,10,70,47,94,Pass
359,6,71,83,66,Pass
360,1,56,94,44,Fail
361,4,63,36,64,Fail
362,10,64,94,42,Pass
363,6,56,39,72,Fail
364,6,58,78,43,Pass
365,5,100,61,64,Pass
366,1,97,66,59,Fail
367,8,57,55,73,Pass
368,5,99,42,65,Pass
369,5,72,72,44,Pass
370,7,78,42,74,Pass
371,4,67,84,100,Pass
372,6,80,37,67,Pass
373,4,79,88,68,Pass
374,3,88,78,48,Pass
375,7,84,95,91,Pass
376,8,67,92,77,Pass
377,4,91,37,89,Pass
378,2,88,56,45,Fail
379,10,66,40,58,Pass
380,3,63,36,99,Fail
381,1,80,57,83,Fail
382,8,73,78,96,Pass
383,3,84,36,50,Fail
384,10,93,72,41,Pass
385,7,94,51,86,Pass
386,10,83,69,83,Pass
387,5,52,68,83,Pass
388,10,86,57,48,Pass
389,5,92,64,60,Pass
390,7,89,86,63,Pass
391,9,75,42,73,Pass
392,5,72,56,61,Pass
393,1,93,78,42,Fail
394,10,88,92,51,Pass
395,10,64,70,67,Pass
396,1,98,39,69,Fail
397,2,53,47,65,Fail
398,6,78,63,87,Pass
399,9,71,65,60,Pass
400,8,74,81,67,Pass
401,5,62,91,95,Pass
402,1,67,89,65,Fail
403,7,82,50,72,Pass
404,5,65,76,60,Pass
405,6,94,64,74,Pass
406,7,91,91,91,Pass
407,3,93,89,73,Pass
408,10,51,50,80,Pass
409,3,84,46,90,Fail
410,5,91,51,86,Pass
411,6,83,50,57,Pass
412,9,79,46,97,Pass
413,5,62,42,50,Fail
414,1,62,54,96,Fail
415,4,67,37,62,Fail
416,5,81,50,87,Pass
417,10,81,64,61,Pass
418,10,84,79,56,Pass
419,5,88,57,44,Pass
420,7,95,62,83,Pass
421,4,78,85,50,Pass
422,1,98,74,69,Fail
423,5,78,88,54,Pass
424,7,93,39,66,Pass
425,10,65,54,74,Pass
426,10,93,74,72,Pass
427,6,96,90,59,Pass
428,5,59,78,100,Pass
429,4,79,35,55,Fail
430,2,74,91,73,Pass
431,4,88,64,41,Pass
432,10,69,55,74,Pass
433,10,54,54,79,Pass
434,3,50,40,95,Fail
435,10,79,56,67,Pass
436,1,98,52,86,Fail
437,8,52,42,78,Pass
438,5,94,73,45,Pass
439,4,63,66,48,Fail
440,8,79,67,59,Pass
441,7,99,87,99,Pass
442,2,53,50,40,Fail
443,1,67,46,47,Fail
444,4,86,72,94,Pass
445,8,74,86,62,Pass
446,2,97,68,42,Fail
447,3,50,95,43,Fail
448,1,95,48,97,Fail
449,1,64,70,64,Fail
450,3,58,67,86,Fail
451,5,64,57,77,Pass
452,3,98,84,54,Pass
453,1,73,79,60,Fail
454,1,53,36,74,Fail
455,8,61,75,96,Pass
456,10,86,55,92,Pass
457,2,86,36,92,Fail
458,3,92,61,85,Pass
459,2,55,91,91,Pass
460,3,88,43,53,Fail
461,7,95,35,75,Pass
462,1,73,45,51,Fail
463,10,60,37,56,Pass
464,8,62,86,78,Pass
465,10,83,57,48,Pass
466,10,74,60,74,Pass
467,10,56,38,99,Pass
468,2,53,52,52,Fail
469,3,57,89,54,Fail
470,9,69,40,57,Pass
471,7,78,69,90,Pass
472,4,100,56,72,Pass
473,10,94,77,45,Pass
474,5,95,49,98,Pass
475,2,59,56,66,Fail
476,8,92,94,62,Pass
477,4,83,71,98,Pass
478,9,75,86,66,Pass
479,5,90,76,73,Pass
480,9,98,46,95,Pass
481,4,52,81,85,Pass
482,10,55,83,77,Pass
483,5,54,76,53,Pass
484,9,54,72,75,Pass
485,8,96,52,92,Pass
486,3,72,79,47,Fail
487,1,98,69,74,Fail
488,3,58,64,58,Fail
489,4,84,58,69,Pass
490,2,69,76,53,Fail
491,1,98,64,98,Pass
492,7,91,48,59,Pass
493,8,84,40,88,Pass
494,7,99,37,64,Pass
495,5,67,50,79,Pass
496,1,66,41,63,Fail
497,7,73,86,53,Pass
498,7,52,48,65,Pass
499,9,81,43,77,Pass
500,3,84,49,62,Fail
501,9,87,55,61,Pass
502,1,62,69,87,Fail
503,1,96,36,96,Fail
504,4,74,61,58,Pass
505,9,58,36,85,Pass
506,6,53,69,90,Pass
507,3,63,52,42,Fail
508,1,86,48,81,Fail
509,4,83,54,58,Pass
510,9,60,52,48,Pass
511,3,90,44,67,Fail
512,9,52,59,59,Pass
513,7,77,36,84,Pass
514,4,78,59,46,Fail
515,3,58,95,53,Pass
516,10,52,88,48,Pass
517,5,74,67,98,Pass
518,5,83,70,99,Pass
519,3,61,65,94,Fail
520,9,91,48,96,Pass
521,4,58,35,99,Fail
522,5,64,80,58,Pass
523,4,89,50,86,Pass
524,5,74,88,91,Pass
525,7,54,80,53,Pass
526,9,60,95,95,Pass
527,7,83,86,77,Pass
528,5,73,37,92,Pass
529,10,64,69,100,Pass
530,10,87,75,75,Pass
531,7,57,40,79,Pass
532,10,54,59,56,Pass
533,5,97,47,69,Pass
534,3,75,87,48,Pass
535,7,67,68,72,Pass
536,2,55,42,95,Fail
537,9,86,55,91,Pass
538,10,97,68,64,Pass
539,10,62,38,53,Pass
540,1,77,59,50,Fail
541,6,54,49,92,Pass
542,7,62,38,74,Pass
543,8,66,79,80,Pass
544,10,99,94,98,Pass
545,9,89,46,53,Pass
546,2,94,66,69,Pass
547,10,81,66,80,Pass
548,2,78,62,43,Fail
549,5,100,47,98,Pass
550,5,52,65,43,Fail
551,6,89,48,67,Pass
552,3,83,54,47,Fail
553,8,89,52,41,Pass
554,1,76,63,80,Fail
555,6,62,94,100,Pass
556,4,94,40,85,Pass
557,1,82,66,61,Fail
558,7,55,63,80,Pass
559,9,73,77,95,Pass
560,4,68,36,94,Fail
561,4,65,94,55,Pass
562,6,89,57,68,Pass
563,3,77,53,88,Fail
564,6,82,65,87,Pass
565,7,97,85,69,Pass
566,10,90,39,51,Pass
567,10,62,53,74,Pass
568,3,92,68,50,Pass
569,7,94,44,85,Pass
570,3,74,59,89,Pass
571,2,91,36,60,Fail
572,10,85,45,60,Pass
573,4,76,84,44,Pass
574,8,87,95,87,Pass
575,9,56,65,59,Pass
576,7,54,90,76,Pass
577,1,92,49,42,Fail
578,3,94,43,83,Fail
579,9,100,57,72,Pass
580,1,80,53,92,Fail
581,9,72,43,100,Pass
582,8,91,69,48,Pass
583,1,59,55,100,Fail
584,6,81,43,48,Pass
585,5,92,62,43,Pass
586,6,79,80,74,Pass
587,10,88,85,56,Pass
588,5,80,41,73,Pass
589,6,67,50,63,Pass
590,5,85,50,71,Pass
591,5,51,94,40,Pass
592,4,63,67,47,Fail
593,3,62,38,84,Fail
594,3,78,38,62,Fail
595,4,61,73,86,Pass
596,9,88,74,79,Pass
597,2,51,51,51,Fail
598,9,81,71,93,Pass
599,1,62,73,51,Fail
600,1,95,94,85,Pass
601,5,76,86,86,Pass
602,6,98,63,54,Pass
603,6,90,86,80,Pass
604,3,66,70,58,Fail
605,7,89,94,65,Pass
606,9,80,72,91,Pass
607,10,83,73,68,Pass
608,8,73,84,61,Pass
609,6,94,71,79,Pass
610,8,84,86,60,Pass
611,5,97,95,90,Pass
612,8,55,69,77,Pass
613,10,68,41,59,Pass
614,4,79,61,96,Pass
615,10,56,62,68,Pass
616,8,59,56,90,Pass
617,10,90,48,43,Pass
618,2,81,41,94,Fail
619,5,83,71,46,Pass
620,9,77,95,67,Pass
621,4,64,56,67,Fail
622,6,79,39,43,Pass
623,1,86,89,61,Fail
624,9,78,36,51,Pass
625,1,71,61,84,Fail
626,5,53,55,42,Fail
627,4,69,88,61,Pass
628,3,81,72,83,Pass
629,6,85,49,41,Pass
630,2,99,55,63,Fail
631,3,53,44,73,Fail
632,5,76,57,66,Pass
633,9,66,92,94,Pass
634,2,61,90,80,Pass
635,10,71,73,40,Pass
636,8,66,39,47,Pass
637,2,59,35,62,Fail
638,5,50,47,77,Fail
639,7,71,55,45,Pass
640,8,75,60,61,Pass
641,1,67,84,64,Fail
642,6,99,79,57,Pass
643,1,63,55,56,Fail
644,2,96,87,100,Pass
645,1,78,52,51,Fail
646,5,61,71,45,Pass
647,10,85,79,65,Pass
648,9,84,66,66,Pass
649,6,61,70,47,Pass
650,1,56,51,58,Fail
651,1,78,69,99,Fail
652,2,60,83,81,Fail
653,9,82,94,40,Pass
654,3,55,45,96,Fail
655,1,96,55,68,Fail
656,5,64,86,84,Pass
657,7,81,89,88,Pass
658,6,100,87,74,Pass
659,1,60,60,79,Fail
660,5,72,38,53,Fail
661,5,75,68,74,Pass
662,6,83,86,87,Pass
663,3,95,82,84,Pass
664,5,83,94,59,Pass
665,7,78,52,95,Pass
666,5,53,74,88,Pass
667,5,66,69,52,Pass
668,5,84,75,100,Pass
669,10,62,63,77,Pass
670,10,90,86,88,Pass
671,3,88,63,85,Pass
672,1,64,72,88,Fail
673,5,78,76,47,Pass
674,9,78,55,82,Pass
675,1,60,76,59,Fail
676,3,81,47,99,Pass
677,4,51,83,72,Pass
678,1,96,75,65,Fail
679,1,63,51,78,Fail
680,8,69,90,60,Pass
681,2,71,43,92,Fail
682,8,60,75,88,Pass
683,7,76,35,81,Pass
684,10,52,36,82,Pass
685,10,66,94,93,Pass
686,2,93,82,80,Pass
687,6,77,63,48,Pass
688,6,78,67,63,Pass
689,3,70,44,76,Fail
690,2,96,84,88,Pass
691,1,65,92,80,Fail
692,6,86,94,56,Pass
693,5,69,74,63,Pass
694,9,55,55,60,Pass
695,1,68,62,90,Fail
696,7,54,45,98,Pass
697,5,52,89,78,Pass
698,5,50,68,94,Pass
699,2,87,42,80,Fail
700,3,64,93,78,Pass
701,7,83,56,52,Pass
702,6,84,42,50,Pass
703,2,98,83,85,Pass
704,6,74,49,58,Pass
705,2,73,51,50,Fail
706,2,61,94,52,Fail
707,2,67,57,85,Fail
708,3,64,58,84,Fail
709,2,93,79,40,Fail
710,4,65,53,79,Fail
711,9,76,39,83,Pass
712,6,57,66,58,Pass
713,1,95,78,51,Fail
714,8,74,35,47,Pass
715,7,66,57,47,Pass
716,10,78,71,100,Pass
717,3,57,42,92,Fail
718,1,64,47,84,Fail
719,5,76,42,51,Fail
720,4,95,91,100,Pass
721,10,99,57,87,Pass
722,8,56,77,72,Pass
723,1,52,35,84,Fail
724,10,78,79,65,Pass
725,1,93,85,78,Pass
726,4,73,58,67,Pass
727,8,52,69,97,Pass
728,5,69,58,44,Fail
729,2,95,51,47,Fail
730,6,64,39,64,Pass
731,5,74,54,66,Pass
732,2,79,55,85,Fail
733,3,63,74,62,Fail
734,9,56,92,69,Pass
735,7,66,65,84,Pass
736,7,93,80,86,Pass
737,6,69,70,62,Pass
738,8,85,45,88,Pass
739,4,58,86,86,Pass
740,8,87,49,59,Pass
741,4,97,53,57,Pass
742,8,71,41,57,Pass
743,9,51,85,41,Pass
744,3,73,62,43,Fail
745,3,57,85,69,Pass
746,2,60,77,72,Fail
747,10,62,92,75,Pass
748,3,66,39,57,Fail
749,3,57,39,76,Fail
750,5,70,64,58,Pass
751,5,67,88,86,Pass
752,2,79,66,67,Fail
753,10,67,42,79,Pass
754,6,95,44,59,Pass
755,5,96,72,88,Pass
756,6,80,81,72,Pass
757,1,87,66,51,Fail
758,5,81,82,97,Pass
759,9,60,62,90,Pass
760,10,94,51,54,Pass
761,2,74,65,80,Fail
762,1,82,42,78,Fail
763,10,87,74,41,Pass
764,9,90,59,68,Pass
765,10,57,43,80,Pass
766,9,60,36,49,Pass
767,9,71,49,41,Pass
768,6,100,84,90,Pass
769,8,73,37,50,Pass
770,1,90,83,52,Fail
771,10,66,70,49,Pass
772,4,61,38,53,Fail
773,1,95,48,57,Fail
774,8,81,75,90,Pass
775,1,64,75,93,Fail
776,3,65,59,48,Fail
777,4,71,92,96,Pass
778,8,77,89,78,Pass
779,6,69,84,67,Pass
780,10,82,44,42,Pass
781,7,59,55,59,Pass
782,8,89,70,45,Pass
783,2,81,46,66,Fail
784,10,99,61,92,Pass
785,8,82,74,41,Pass
786,3,51,36,68,Fail
787,7,82,88,77,Pass
788,3,82,47,42,Fail
789,7,90,87,55,Pass
790,2,62,66,69,Fail
791,10,79,65,79,Pass
792,6,82,50,41,Pass
793,3,62,66,56,Fail
794,3,75,66,80,Pass
795,9,71,94,51,Pass
796,7,88,68,74,Pass
797,5,51,45,82,Fail
798,10,87,44,40,Pass
799,7,88,49,94,Pass
800,9,75,51,84,Pass
801,1,95,74,54,Fail
802,7,99,52,65,Pass
803,6,64,89,76,Pass
804,10,83,43,60,Pass
805,9,91,59,88,Pass
806,1,93,74,70,Fail
807,4,98,93,64,Pass
808,9,89,48,62,Pass
809,4,60,94,63,Pass
810,10,52,92,96,Pass
811,3,55,59,77,Fail
812,9,58,84,67,Pass
813,2,55,56,60,Fail
814,4,58,86,93,Pass
815,6,88,64,82,Pass
816,2,80,54,57,Fail
817,8,81,55,75,Pass
818,8,90,78,74,Pass
819,1,99,66,84,Fail
820,3,61,85,94,Pass
821,10,57,80,48,Pass
822,9,57,83,92,Pass
823,5,99,90,77,Pass
824,6,77,55,97,Pass
825,4,69,69,69,Pass
826,10,96,92,99,Pass
827,2,56,66,83,Fail
828,8,60,64,73,Pass
829,6,69,89,71,Pass
830,5,65,73,42,Pass
831,9,53,83,42,Pass
832,1,55,46,67,Fail
833,5,71,75,83,Pass
834,6,75,81,54,Pass
835,5,52,52,80,Fail
836,6,90,55,62,Pass
837,6,91,47,79,Pass
838,7,63,55,50,Pass
839,4,60,42,87,Fail
840,8,67,80,71,Pass
841,7,61,74,97,Pass
842,9,72,80,98,Pass
843,7,61,41,96,Pass
844,3,62,57,93,Fail
845,3,74,78,75,Pass
846,8,94,66,99,Pass
847,5,100,45,72,Pass
848,4,68,56,63,Fail
849,8,95,56,78,Pass
850,6,85,77,73,Pass
851,2,94,59,95,Pass
852,4,57,56,67,Fail
853,4,78,62,76,Pass
854,6,81,63,46,Pass
855,6,100,47,43,Pass
856,1,93,52,76,Fail
857,8,67,36,95,Pass
858,6,55,63,40,Pass
859,3,67,55,40,Fail
860,9,68,49,86,Pass
861,2,71,86,59,Fail
862,8,86,61,58,Pass
863,10,81,84,68,Pass
864,3,90,65,49,Fail
865,5,52,49,99,Pass
866,6,77,85,57,Pass
867,10,59,57,67,Pass
868,6,100,58,74,Pass
869,4,84,78,82,Pass
870,3,78,47,86,Fail
871,4,64,56,70,Fail
872,1,82,77,66,Fail
873,4,56,71,50,Fail
874,1,61,95,88,Fail
875,1,98,67,88,Pass
876,10,79,90,77,Pass
877,6,70,37,44,Fail
878,5,80,88,47,Pass
879,4,73,53,73,Pass
880,3,69,57,87,Fail
881,1,86,63,91,Fail
882,6,53,64,95,Pass
883,2,77,73,51,Fail
884,8,93,78,77,Pass
885,10,69,81,40,Pass
886,5,73,59,70,Pass
887,7,99,71,43,Pass
888,10,98,81,88,Pass
889,2,100,42,84,Fail
890,8,81,76,89,Pass
891,2,90,92,44,Pass
892,4,85,50,69,Pass
893,1,83,42,95,Fail
894,5,85,35,63,Pass
895,9,51,78,98,Pass
896,1,64,39,42,Fail
897,9,83,37,50,Pass
898,8,85,35,84,Pass
899,6,55,38,43,Fail
900,7,88,74,65,Pass
901,3,91,69,66,Pass
902,1,100,66,85,Pass
903,5,100,76,93,Pass
904,2,61,68,82,Fail
905,5,52,77,66,Pass
906,8,94,59,81,Pass
907,9,67,44,90,Pass
908,2,89,55,89,Fail
909,3,70,80,45,Fail
910,3,64,73,98,Pass
911,1,82,61,100,Fail
912,8,84,61,54,Pass
913,6,75,36,92,Pass
914,8,57,75,69,Pass
915,9,85,82,81,Pass
916,5,97,47,76,Pass
917,3,79,43,97,Fail
918,5,72,86,100,Pass
919,5,91,70,76,Pass
920,5,93,56,81,Pass
921,3,63,76,99,Pass
922,10,63,60,76,Pass
923,4,51,92,74,Pass
924,9,86,88,62,Pass
925,10,54,46,45,Pass
926,9,87,51,43,Pass
927,2,94,48,57,Fail
928,8,90,48,99,Pass
929,8,96,91,48,Pass
930,7,63,68,88,Pass
931,8,88,87,68,Pass
932,3,74,91,52,Pass
933,6,69,54,98,Pass
934,1,51,45,86,Fail
935,7,88,50,91,Pass
936,1,55,85,56,Fail
937,9,66,65,84,Pass
938,1,74,89,71,Fail
939,1,77,40,87,Fail
940,7,51,90,61,Pass
941,2,84,53,43,Fail
942,5,86,71,44,Pass
943,8,54,92,76,Pass
944,8,50,38,80,Pass
945,3,89,81,88,Pass
946,7,61,95,52,Pass
947,3,85,38,73,Fail
948,6,94,54,84,Pass
949,6,72,44,61,Pass
950,3,96,58,92,Pass
951,7,80,88,98,Pass
952,3,60,69,62,Fail
953,8,59,60,90,Pass
954,10,52,71,42,Pass
955,4,63,72,81,Pass
956,1,65,55,73,Fail
957,4,59,88,71,Pass
958,7,78,74,84,Pass
959,4,59,73,90,Pass
960,6,61,55,97,Pass
961,9,79,44,88,Pass
962,1,90,72,60,Fail
963,5,50,80,85,Pass
964,7,54,38,83,Pass
965,1,69,94,60,Fail
966,4,57,91,83,Pass
967,6,92,79,50,Pass
968,2,61,54,78,Fail
969,10,50,51,43,Pass
970,5,69,89,90,Pass
971,10,77,41,40,Pass
972,1,92,38,67,Fail
973,6,86,63,63,Pass
974,6,96,48,100,Pass
975,4,86,37,74,Fail
976,8,61,58,52,Pass
977,4,86,71,86,Pass
978,8,98,50,73,Pass
979,8,98,92,50,Pass
980,5,93,89,75,Pass
981,4,77,86,90,Pass
982,2,96,38,100,Fail
983,3,64,90,56,Pass
984,3,55,58,74,Fail
985,4,93,68,99,Pass
986,4,69,64,57,Fail
987,10,99,52,79,Pass
988,5,63,53,61,Fail
989,4,51,65,96,Pass
990,10,58,94,63,Pass
991,8,86,94,97,Pass
992,6,69,53,58,Pass
993,6,75,83,76,Pass
994,8,78,80,78,Pass
